pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,score_comp3_coke_080
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,0.42110117
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,0.419554475
-0.758,0.4495,-0.588235294,-0.636363636,0,-0.866666667,0.444038864
-0.784,0.65,-0.352941176,0.818181818,-0.75,0.733333333,0.447501318
-0.784,0.65,-0.352941176,0.818181818,-0.75,0.733333333,0.447427899
-0.778,0.45,-0.588235294,-0.272727273,0.75,-0.866666667,0.442903727
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,0.419510534
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,0.435597955
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,0.436839286
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,0.433224259
-0.688,0.55,-0.588235294,0.090909091,-0.75,-0.493333333,0.461045231
-0.624,0.5,0.352941176,0.090909091,-0.75,0.733333333,0.437565453
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,0.441919248
-0.762,0.4245,-0.588235294,-0.636363636,-0.75,-0.493333333,0.462055544
-0.614,0.725,0.352941176,0.818181818,-0.75,0.733333333,0.450289277
-0.452,0.435,0.352941176,-0.818181818,-0.75,0.733333333,0.455135573
-0.226,0.6,0.352941176,-0.636363636,-0.75,-0.493333333,0.457590297
-0.62,0.525,0.352941176,0.090909091,-0.75,0.733333333,0.43188425
-0.618,0.55,0.352941176,0.090909091,-0.75,0.733333333,0.419720449
-0.59,0.6,0.352941176,0.090909091,-0.75,0.733333333,0.396122514
-0.054,0.525,-0.117647059,-0.636363636,-0.75,-0.493333333,0.451400619
-0.612,0.575,0.352941176,0.090909091,-0.75,0.733333333,0.410679875
-0.424,0.6755,-0.117647059,0.090909091,-0.75,-0.493333333,0.47012179
-0.38,0.465,0.352941176,-0.818181818,-0.75,0.733333333,0.456785902
-0.248,0.675,0.823529412,-0.636363636,-0.75,-0.493333333,0.471254716
-0.758,0.5995,-0.588235294,-0.636363636,-0.75,-0.866666667,0.461734086
-0.484,0.625,-0.352941176,-0.272727273,-0.75,-0.493333333,0.470296655
-0.824,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.454693229
-0.758,0.475,-0.588235294,-0.636363636,0,-0.866666667,0.461120476
-0.688,0.575,-0.588235294,0.090909091,-0.75,-0.493333333,0.462699997
-0.614,0.7375,0.352941176,0.818181818,-0.75,0.733333333,0.470014376
-0.822,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.453284829
-0.762,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.464531384
-0.776,0.4755,-0.588235294,-0.272727273,0.75,-0.866666667,0.465294195
-0.822,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.453068301
-0.822,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.454509572
-0.818,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.464631735
-0.818,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.457568629
-0.816,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.456046284
-0.81,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.455363936
-0.816,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.460203871
-0.806,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.459466512
-0.814,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.455182927
-0.81,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.460190707
-0.216,0.625,0.352941176,-0.636363636,-0.75,-0.493333333,0.473965236
-0.81,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,0.460262639
-0.048,0.55,-0.117647059,-0.636363636,-0.75,-0.493333333,0.466950025
-0.424,0.7005,-0.117647059,0.090909091,-0.75,-0.493333333,0.470304965
-0.614,0.75,0.352941176,0.818181818,-0.75,0.733333333,0.471917894
-0.482,0.65,-0.352941176,-0.272727273,-0.75,-0.493333333,0.474742315
-0.246,0.7,0.823529412,-0.636363636,-0.75,-0.493333333,0.483903701
-0.686,0.6,-0.588235294,0.090909091,-0.75,-0.493333333,0.480479195
-0.76,0.475,-0.588235294,-0.636363636,-0.75,-0.493333333,0.467575082
-0.756,0.6245,-0.588235294,-0.636363636,-0.75,-0.866666667,0.473476213
-0.758,0.4995,-0.588235294,-0.636363636,0,-0.866666667,0.469203469
-0.776,0.4995,-0.588235294,-0.272727273,0.75,-0.866666667,0.476481898
-0.004,0.575,-0.117647059,-0.636363636,-0.75,-0.493333333,0.464385928
-0.204,0.65,0.352941176,-0.636363636,-0.75,-0.493333333,0.478164045
0.282,0.6,-0.117647059,-0.636363636,-0.75,-0.493333333,0.44411707
-0.424,0.7255,-0.117647059,0.090909091,-0.75,-0.493333333,0.499844033
-0.762,0.4995,-0.588235294,-0.636363636,-0.75,-0.493333333,0.473080612
-0.242,0.725,0.823529412,-0.636363636,-0.75,-0.493333333,0.483852879
-0.48,0.675,-0.352941176,-0.272727273,-0.75,-0.493333333,0.491177512
-0.684,0.625,-0.588235294,0.090909091,-0.75,-0.493333333,0.480280468
-0.758,0.5255,-0.588235294,-0.636363636,0,-0.866666667,0.475671405
-0.756,0.65,-0.588235294,-0.636363636,-0.75,-0.866666667,0.48222892
-0.762,0.525,-0.588235294,-0.636363636,-0.75,-0.493333333,0.470725542
-0.776,0.525,-0.588235294,-0.272727273,0.75,-0.866666667,0.48899501
-0.154,0.675,0.352941176,-0.636363636,-0.75,-0.493333333,0.485131207
0.672,0.725,0.352941176,-0.636363636,-0.75,-0.493333333,0.436019095
-0.48,0.7,-0.352941176,-0.272727273,-0.75,-0.493333333,0.49678525
-0.762,0.5495,-0.588235294,-0.636363636,-0.75,-0.493333333,0.463318017
-0.756,0.5495,-0.588235294,-0.636363636,0,-0.866666667,0.478490101
-0.684,0.65,-0.588235294,0.090909091,-0.75,-0.493333333,0.499804325
-0.23,0.75,0.823529412,-0.636363636,-0.75,-0.493333333,0.504875996
-0.76,0.575,-0.588235294,-0.636363636,-0.75,-0.493333333,0.453451121
0.05,0.7,0.352941176,-0.636363636,-0.75,-0.493333333,0.482157673
-0.758,0.5995,-0.588235294,-0.636363636,-0.75,-0.493333333,0.440826106
-0.756,0.6245,-0.588235294,-0.636363636,-0.75,-0.493333333,0.425525926
-0.776,0.55,-0.588235294,-0.272727273,0.75,-0.866666667,0.499914933
-0.758,0.575,-0.588235294,-0.636363636,0,-0.866666667,0.48288648
-0.684,0.675,-0.588235294,0.090909091,-0.75,-0.493333333,0.506169863
-0.478,0.725,-0.352941176,-0.272727273,-0.75,-0.493333333,0.508469758
-0.776,0.625,-0.588235294,-0.272727273,0.75,-0.866666667,0.509371746
-0.758,0.5995,-0.588235294,-0.636363636,0,-0.866666667,0.477855328
-0.776,0.575,-0.588235294,-0.272727273,0.75,-0.866666667,0.510047002
-0.478,0.75,-0.352941176,-0.272727273,-0.75,-0.493333333,0.504862558
-0.682,0.7,-0.588235294,0.090909091,-0.75,-0.493333333,0.515149995
-0.758,0.6245,-0.588235294,-0.636363636,0,-0.866666667,0.468665068
-0.778,0.6,-0.588235294,-0.272727273,0.75,-0.866666667,0.517875099
-0.682,0.725,-0.588235294,0.090909091,-0.75,-0.493333333,0.547401985
-0.68,0.75,-0.588235294,0.090909091,-0.75,-0.493333333,0.519637499
-0.776,0.6515,-0.588235294,-0.272727273,0.75,-0.866666667,0.517739693
