pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,Conv,C2H4,C2,Coke,Y_C2,Y_C2H4
-0.688,0.475,-0.588235294,0.090909091,-0.75,-0.493333333,9.59627039,51.56011704,81.71727626,8.872499456,7.841810785,4.947848245
-0.254,0.6,0.823529412,-0.636363636,-0.75,-0.493333333,9.230731916,42.18882671,85.24870728,6.302697794,7.869079631,3.894337492
-0.456,0.345,0.352941176,-0.818181818,-0.75,0.733333333,8.708901892,62.03853674,90.38571783,1.546105099,7.87160349,5.4028753
-0.824,0.175,-0.588235294,-0.636363636,-0.75,0.733333333,16.38196325,33.8597051,48.16590131,27.92593151,7.890520252,5.546884446
-0.79,0.2,-0.588235294,-0.636363636,-0.75,0.733333333,18.7479569,29.76330563,42.39469796,33.54274914,7.948139701,5.580011712
-0.756,0.5245,-0.588235294,-0.636363636,-0.75,-0.866666667,9.342768065,39.74532486,85.11086966,6.130291333,7.95171115,3.713313518
-0.118,0.25,0.352941176,-0.636363636,-0.75,0.733333333,11.23653486,50.31740963,71.52114584,9.621853415,8.036498485,5.653933274
-0.762,0.4,-0.588235294,-0.636363636,0,-0.866666667,9.754245675,40.49906349,82.99883903,7.231805565,8.095910666,3.950378149
-0.614,0.675,0.352941176,0.818181818,-0.75,0.733333333,8.677625102,60.71375457,93.60446924,4.285289232,8.122644919,5.268512007
-0.06,0.45,-0.117647059,-0.636363636,-0.75,-0.493333333,9.512630641,51.37847187,85.70244622,2.279556166,8.152557159,4.887444258
-0.778,0.3995,-0.588235294,-0.272727273,0.75,-0.866666667,9.640844433,43.26162991,84.71539997,10.93609396,8.167279922,4.170786439
-0.426,0.6005,-0.117647059,0.090909091,-0.75,-0.493333333,8.724640887,55.93659459,93.95262994,4.229339778,8.197029566,4.880267002
-0.62,0.375,0.352941176,0.090909091,-0.75,0.733333333,9.59965569,57.60362604,86.37394005,3.332569153,8.291600851,5.529749765
-0.762,0.3745,-0.588235294,-0.636363636,-0.75,-0.493333333,10.07910427,46.69369084,82.97966082,1.926935224,8.363606537,4.706305787
-0.486,0.55,-0.352941176,-0.272727273,-0.75,-0.493333333,9.648805182,53.79976203,87.05748994,7.554193767,8.400007601,5.191034227
-0.226,0.275,0.352941176,-0.636363636,-0.75,0.733333333,12.27265751,48.3483451,69.41312166,10.49466122,8.518834688,5.933626806
-0.23,0.55,0.352941176,-0.636363636,-0.75,-0.493333333,10.01697049,47.05780222,85.09543327,5.509656208,8.523984439,4.713766162
-0.456,0.365,0.352941176,-0.818181818,-0.75,0.733333333,9.888584381,59.42801512,86.5785574,3.675445145,8.561393704,5.876589421
-0.686,0.5,-0.588235294,0.090909091,-0.75,-0.493333333,9.711436148,55.84794645,88.6578668,0.237501076,8.609952124,5.423637659
-0.614,0.6875,0.352941176,0.818181818,-0.75,0.733333333,8.963167426,61.7959252,96.43175463,0.955462931,8.643339619,5.538872238
0.1,0.3,0.352941176,-0.636363636,-0.75,0.733333333,15.24118075,40.43161389,56.79231003,19.44404732,8.655818624,6.162255353
-0.622,0.4,0.352941176,0.090909091,-0.75,0.733333333,10.75831468,53.91593444,81.15845322,7.214151782,8.731281787,5.80044589
-0.252,0.625,0.823529412,-0.636363636,-0.75,-0.493333333,10.55816885,40.9975933,83.39916567,6.932344357,8.805424731,4.328595125
-0.756,0.5495,-0.588235294,-0.636363636,-0.75,-0.866666667,10.55801253,38.9802667,84.39140987,5.060917336,8.910055628,4.115541442
-0.722,0.65,0,0.818181818,-0.75,0.733333333,10.08194985,57.16615133,89.28170493,6.41901716,9.001336716,5.763462708
-0.724,0.65,0,0.818181818,-0.75,0.733333333,10.4857992,55.65838985,86.14785701,9.522130334,9.033291301,5.836226998
-0.76,0.4245,-0.588235294,-0.636363636,0,-0.866666667,11.32604285,38.66340083,79.81250018,8.465059454,9.03959797,4.379033345
-0.428,0.6255,-0.117647059,0.090909091,-0.75,-0.493333333,9.273711543,58.07508974,97.57217525,0.096146651,9.048562079,5.385716301
-0.06,0.475,-0.117647059,-0.636363636,-0.75,-0.493333333,11.03951443,49.11308039,82.05371093,4.298750047,9.058331258,5.421845597
-0.722,0.65,0,0.818181818,-0.75,0.733333333,10.28266215,56.63405772,88.22225832,7.221606753,9.071596764,5.823488817
-0.722,0.65,0,0.818181818,-0.75,0.733333333,10.22273637,57.17564243,88.84352168,6.754277245,9.082239003,5.844915193
-0.614,0.7,0.352941176,0.818181818,-0.75,0.733333333,10.2305924,57.10433416,89.01306128,8.036012727,9.106563482,5.842111671
-0.778,0.425,-0.588235294,-0.272727273,0.75,-0.866666667,10.68050508,43.59403596,86.06740994,8.786370819,9.192434091,4.656063225
-0.486,0.575,-0.352941176,-0.272727273,-0.75,-0.493333333,10.42397952,54.53813995,88.28651029,5.866071084,9.202967752,5.685044539
-0.624,0.425,0.352941176,0.090909091,-0.75,0.733333333,11.71568409,52.33559255,78.60764142,7.761440573,9.209422939,6.13147269
-0.76,0.4,-0.588235294,-0.636363636,-0.75,-0.493333333,11.9309943,43.51959644,77.855271,6.554051383,9.288907945,5.192320571
-0.454,0.39,0.352941176,-0.818181818,-0.75,0.733333333,10.99135615,58.04996993,84.51260309,3.397679287,9.289081197,6.38047894
-0.646,0.65,0.352941176,0.818181818,-0.75,0.733333333,10.27911852,58.47557488,90.66921973,5.420771252,9.319996557,6.010773647
-0.684,0.65,0.176470588,0.818181818,-0.75,0.733333333,10.25947981,58.88777126,91.09542466,4.489258191,9.345916701,6.041579003
-0.754,0.65,-0.176470588,0.818181818,-0.75,0.733333333,11.16136517,54.20855958,84.0321551,10.05568886,9.379135691,6.050415288
-0.684,0.65,0.176470588,0.818181818,-0.75,0.733333333,10.37962043,58.40881479,90.49482421,5.006800498,9.393019262,6.062613273
-0.678,0.65,0.176470588,0.818181818,-0.75,0.733333333,10.3966642,58.2157829,90.45794994,5.061076669,9.404609297,6.05249946
-0.644,0.65,0.352941176,0.818181818,-0.75,0.733333333,10.28635294,59.16066883,91.50725817,4.506667399,9.412759541,6.085475198
-0.646,0.65,0.352941176,0.818181818,-0.75,0.733333333,10.28194913,59.33424496,91.67531299,4.29119441,9.426009046,6.100716883
-0.646,0.65,0.352941176,0.818181818,-0.75,0.733333333,10.50661455,58.2676358,89.93262592,6.097625037,9.44887436,6.121955901
